group,label,stage_key,offset,count,bias,mae,rmse,median_error,median_absolute_error,absolute_error_p75,absolute_error_p90,absolute_error_p95,exact_rate,within_one_rate,within_five_rate,within_ten_rate
stage,s1,0.0,1400.0,9848,-0.7197400487408611,1.2881803411860275,11.188556370849998,0.0,1.0,1.0,1.0,2.0,0.3608854589764419,0.9379569455727051,0.9952274573517466,0.9953290008123477
stage,s2,1.0,900.0,7273,4.6948989412897015,6.732847518218067,16.397148913958517,6.0,6.0,8.0,10.0,12.0,0.06613501993675237,0.1429946377010862,0.4750446858242816,0.9008662175168431
stage,s3,2.0,550.0,6240,5.693589743589744,7.5509615384615385,15.445935487270528,7.0,7.0,9.0,12.0,13.0,0.035897435897435895,0.09022435897435897,0.37724358974358974,0.8330128205128206
stage,s4,3.0,300.0,5500,6.648545454545455,8.345272727272727,13.793008769267527,8.0,8.0,10.0,13.0,14.0,0.016,0.076,0.31072727272727274,0.7581818181818182
stage,s5,4.0,150.0,4931,7.789292232812817,9.213749746501724,14.98479591786491,9.0,9.0,12.0,14.0,16.0,0.01176232001622389,0.057797606976272564,0.2441695396471304,0.6653822754005273
stage,s6,5.0,50.0,4425,8.288135593220339,10.858983050847458,19.745184637885277,10.0,10.0,13.0,16.0,18.0,0.006553672316384181,0.03751412429378531,0.18983050847457628,0.567683615819209
stage,old,7.0,0.0,98852,6.7074211953223,7.717051754137499,13.312422484309936,7.0,7.0,12.0,15.0,18.0,0.151054101080403,0.2918909076194715,0.4137801966576296,0.6888378586169223
rating_bucket,<1200,,,57274,9.604969095924853,10.965132520864616,16.09587928718362,11.0,11.0,14.0,17.0,19.0,0.045081537870587,0.10273422495373119,0.20667318504033244,0.4666864545867235
rating_bucket,1200–1599,,,67516,4.108581669530185,5.340437822145862,12.331024488609257,5.0,5.0,8.0,11.0,12.0,0.18485988506428105,0.3882042775045915,0.5448930623852124,0.8987647372474673
rating_bucket,1600–1999,,,11039,0.8865839297037775,1.9384908053265695,9.353216153503988,1.0,1.0,2.0,4.0,6.0,0.3377117492526497,0.664734124467796,0.9439260802608932,0.9934776700788115
rating_bucket,2000–2399,,,1102,-0.015426497277676952,0.8593466424682396,1.9116131859706265,0.0,1.0,1.0,1.0,2.9500000000000455,0.45099818511796735,0.9056261343012704,0.9827586206896551,0.9918330308529946
rating_bucket,≥2400,,,132,0.05303030303030303,0.49242424242424243,0.9808777763417887,0.0,0.0,1.0,1.0,1.0,0.5757575757575758,0.9848484848484849,0.9924242424242424,1.0
